DEBUG 2025-04-29 17:40:26,641 plugin 38476 10824 load pyexcel.plugins.sources.pydata.bookdict.BookDictSource later
DEBUG 2025-04-29 17:40:26,642 source_plugin 38476 10824 Instance attribute: bookdict , bookdict , bookdict , bookdict , 
DEBUG 2025-04-29 17:40:26,642 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,642 plugin 38476 10824 add pyexcel.plugins.sources.pydata.dictsource.DictSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,642 plugin 38476 10824 load pyexcel.plugins.sources.pydata.dictsource.DictSource later
DEBUG 2025-04-29 17:40:26,642 source_plugin 38476 10824 Instance attribute: dict , dict , dict , dict , 
DEBUG 2025-04-29 17:40:26,642 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,642 plugin 38476 10824 add pyexcel.plugins.sources.pydata.arraysource.ArraySource as 'source' plugin
DEBUG 2025-04-29 17:40:26,642 plugin 38476 10824 load pyexcel.plugins.sources.pydata.arraysource.ArraySource later
DEBUG 2025-04-29 17:40:26,644 source_plugin 38476 10824 Instance attribute: array , array , array , array , 
DEBUG 2025-04-29 17:40:26,644 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,644 plugin 38476 10824 add pyexcel.plugins.sources.pydata.records.RecordsSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,644 plugin 38476 10824 load pyexcel.plugins.sources.pydata.records.RecordsSource later
DEBUG 2025-04-29 17:40:26,644 source_plugin 38476 10824 Instance attribute: records , records , records , records , 
DEBUG 2025-04-29 17:40:26,644 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 add pyexcel.plugins.sources.django.SheetDjangoSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 load pyexcel.plugins.sources.django.SheetDjangoSource later
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 add pyexcel.plugins.sources.django.BookDjangoSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 load pyexcel.plugins.sources.django.BookDjangoSource later
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 add pyexcel.plugins.sources.sqlalchemy.SheetSQLAlchemySource as 'source' plugin
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 load pyexcel.plugins.sources.sqlalchemy.SheetSQLAlchemySource later
DEBUG 2025-04-29 17:40:26,645 plugin 38476 10824 add pyexcel.plugins.sources.sqlalchemy.BookSQLSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,646 plugin 38476 10824 load pyexcel.plugins.sources.sqlalchemy.BookSQLSource later
DEBUG 2025-04-29 17:40:26,646 plugin 38476 10824 add pyexcel.plugins.sources.querysets.SheetQuerySetSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,646 plugin 38476 10824 load pyexcel.plugins.sources.querysets.SheetQuerySetSource later
DEBUG 2025-04-29 17:40:26,647 utils 38476 10824 found pyexcel.plugins.sources
DEBUG 2025-04-29 17:40:26,647 loader 38476 10824 scanning done
INFO 2025-04-29 17:48:30,616 autoreload 76404 101244 Watching for file changes with StatReloader
DEBUG 2025-04-29 17:48:31,412 plugin 76404 101244 declare 'renderer' plugin manager
DEBUG 2025-04-29 17:48:31,413 plugin 76404 101244 declare 'parser' plugin manager
DEBUG 2025-04-29 17:48:31,432 plugin 76404 101244 declare 'pyexcel-io reader' plugin manager
DEBUG 2025-04-29 17:48:31,433 plugin 76404 101244 declare 'pyexcel-io writer' plugin manager
DEBUG 2025-04-29 17:48:31,433 plugin 76404 101244 declare 'pyexcel-io v2 writer' plugin manager
DEBUG 2025-04-29 17:48:31,433 plugin 76404 101244 declare 'pyexcel-io v2 reader' plugin manager
DEBUG 2025-04-29 17:48:31,445 loader 76404 101244 scanning for plugins...
DEBUG 2025-04-29 17:48:31,501 loader 76404 101244 ignored pyexcel_io
DEBUG 2025-04-29 17:48:31,503 plugin 76404 101244 add pyexcel_ods.odsr.ODSBook as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,503 plugin 76404 101244 load pyexcel_ods.odsr.ODSBook later
DEBUG 2025-04-29 17:48:31,503 plugin 76404 101244 add pyexcel_ods.odsr.ODSBookInContent as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,504 plugin 76404 101244 load pyexcel_ods.odsr.ODSBookInContent later
DEBUG 2025-04-29 17:48:31,504 plugin 76404 101244 add pyexcel_ods.odsw.ODSWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,504 plugin 76404 101244 load pyexcel_ods.odsw.ODSWriter later
DEBUG 2025-04-29 17:48:31,504 utils 76404 101244 found pyexcel_ods
DEBUG 2025-04-29 17:48:31,506 plugin 76404 101244 add pyexcel_ods3.odsr.ODSBook as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,506 plugin 76404 101244 load pyexcel_ods3.odsr.ODSBook later
DEBUG 2025-04-29 17:48:31,507 plugin 76404 101244 add pyexcel_ods3.odsr.ODSBookInContent as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,507 plugin 76404 101244 load pyexcel_ods3.odsr.ODSBookInContent later
DEBUG 2025-04-29 17:48:31,507 plugin 76404 101244 add pyexcel_ods3.odsw.ODSWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,508 plugin 76404 101244 load pyexcel_ods3.odsw.ODSWriter later
DEBUG 2025-04-29 17:48:31,508 utils 76404 101244 found pyexcel_ods3
DEBUG 2025-04-29 17:48:31,516 plugin 76404 101244 add pyexcel_io.readers.csv_in_file.FileReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,516 plugin 76404 101244 load pyexcel_io.readers.csv_in_file.FileReader later
DEBUG 2025-04-29 17:48:31,517 plugin 76404 101244 add pyexcel_io.readers.csv_content.ContentReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,517 plugin 76404 101244 load pyexcel_io.readers.csv_content.ContentReader later
DEBUG 2025-04-29 17:48:31,517 plugin 76404 101244 add pyexcel_io.readers.csv_in_memory.MemoryReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,517 plugin 76404 101244 load pyexcel_io.readers.csv_in_memory.MemoryReader later
DEBUG 2025-04-29 17:48:31,518 plugin 76404 101244 add pyexcel_io.readers.csvz.FileReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,518 plugin 76404 101244 load pyexcel_io.readers.csvz.FileReader later
DEBUG 2025-04-29 17:48:31,518 plugin 76404 101244 add pyexcel_io.readers.csvz.ContentReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,518 plugin 76404 101244 load pyexcel_io.readers.csvz.ContentReader later
DEBUG 2025-04-29 17:48:31,518 utils 76404 101244 found pyexcel_io.readers
DEBUG 2025-04-29 17:48:31,520 plugin 76404 101244 add pyexcel_io.writers.csv_in_file.CsvFileWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,520 plugin 76404 101244 load pyexcel_io.writers.csv_in_file.CsvFileWriter later
DEBUG 2025-04-29 17:48:31,521 plugin 76404 101244 add pyexcel_io.writers.csv_in_memory.CsvMemoryWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,521 plugin 76404 101244 load pyexcel_io.writers.csv_in_memory.CsvMemoryWriter later
DEBUG 2025-04-29 17:48:31,521 plugin 76404 101244 add pyexcel_io.writers.csvz_writer.CsvZipWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,521 plugin 76404 101244 load pyexcel_io.writers.csvz_writer.CsvZipWriter later
DEBUG 2025-04-29 17:48:31,521 utils 76404 101244 found pyexcel_io.writers
DEBUG 2025-04-29 17:48:31,522 plugin 76404 101244 add pyexcel_io.database.exporters.queryset.QueryReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,523 plugin 76404 101244 load pyexcel_io.database.exporters.queryset.QueryReader later
DEBUG 2025-04-29 17:48:31,523 plugin 76404 101244 add pyexcel_io.database.exporters.django.DjangoBookReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,523 plugin 76404 101244 load pyexcel_io.database.exporters.django.DjangoBookReader later
DEBUG 2025-04-29 17:48:31,523 plugin 76404 101244 add pyexcel_io.database.importers.django.DjangoBookWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,524 plugin 76404 101244 load pyexcel_io.database.importers.django.DjangoBookWriter later
DEBUG 2025-04-29 17:48:31,524 plugin 76404 101244 add pyexcel_io.database.exporters.sqlalchemy.SQLBookReader as 'pyexcel-io v2 reader' plugin
DEBUG 2025-04-29 17:48:31,524 plugin 76404 101244 load pyexcel_io.database.exporters.sqlalchemy.SQLBookReader later
DEBUG 2025-04-29 17:48:31,524 plugin 76404 101244 add pyexcel_io.database.importers.sqlalchemy.SQLBookWriter as 'pyexcel-io v2 writer' plugin
DEBUG 2025-04-29 17:48:31,524 plugin 76404 101244 load pyexcel_io.database.importers.sqlalchemy.SQLBookWriter later
DEBUG 2025-04-29 17:48:31,525 utils 76404 101244 found pyexcel_io.database
DEBUG 2025-04-29 17:48:31,525 loader 76404 101244 scanning done
DEBUG 2025-04-29 17:48:31,525 plugin 76404 101244 declare 'source' plugin manager
DEBUG 2025-04-29 17:48:31,526 loader 76404 101244 scanning for plugins...
DEBUG 2025-04-29 17:48:31,570 loader 76404 101244 ignored pyexcel_io
DEBUG 2025-04-29 17:48:31,571 loader 76404 101244 ignored pyexcel_ods
DEBUG 2025-04-29 17:48:31,572 loader 76404 101244 ignored pyexcel_ods3
DEBUG 2025-04-29 17:48:31,582 plugin 76404 101244 add pyexcel.plugins.parsers.excel.ExcelParser as 'parser' plugin
DEBUG 2025-04-29 17:48:31,582 plugin 76404 101244 load pyexcel.plugins.parsers.excel.ExcelParser later
DEBUG 2025-04-29 17:48:31,582 plugin 76404 101244 add pyexcel.plugins.parsers.sqlalchemy.SQLAlchemyExporter as 'parser' plugin
DEBUG 2025-04-29 17:48:31,582 plugin 76404 101244 load pyexcel.plugins.parsers.sqlalchemy.SQLAlchemyExporter later
DEBUG 2025-04-29 17:48:31,583 plugin 76404 101244 add pyexcel.plugins.parsers.django.DjangoExporter as 'parser' plugin
DEBUG 2025-04-29 17:48:31,583 plugin 76404 101244 load pyexcel.plugins.parsers.django.DjangoExporter later
DEBUG 2025-04-29 17:48:31,583 utils 76404 101244 found pyexcel.plugins.parsers
DEBUG 2025-04-29 17:48:31,584 plugin 76404 101244 add pyexcel.plugins.renderers.sqlalchemy.SQLAlchemyRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:48:31,584 plugin 76404 101244 load pyexcel.plugins.renderers.sqlalchemy.SQLAlchemyRenderer later
DEBUG 2025-04-29 17:48:31,584 plugin 76404 101244 add pyexcel.plugins.renderers.django.DjangoRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:48:31,585 plugin 76404 101244 load pyexcel.plugins.renderers.django.DjangoRenderer later
DEBUG 2025-04-29 17:48:31,585 plugin 76404 101244 add pyexcel.plugins.renderers.excel.ExcelRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:48:31,585 plugin 76404 101244 load pyexcel.plugins.renderers.excel.ExcelRenderer later
DEBUG 2025-04-29 17:48:31,585 plugin 76404 101244 add pyexcel.plugins.renderers._texttable.TextTableRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:48:31,585 plugin 76404 101244 load pyexcel.plugins.renderers._texttable.TextTableRenderer later
DEBUG 2025-04-29 17:48:31,585 utils 76404 101244 found pyexcel.plugins.renderers
DEBUG 2025-04-29 17:48:31,587 plugin 76404 101244 add pyexcel.plugins.sources.http.HttpSource as 'source' plugin
DEBUG 2025-04-29 17:48:31,587 plugin 76404 101244 load pyexcel.plugins.sources.http.HttpSource later
DEBUG 2025-04-29 17:48:31,596 source_plugin 76404 101244 Instance attribute: url , url , 
DEBUG 2025-04-29 17:48:31,596 source_plugin 76404 101244 Source registry: 
DEBUG 2025-04-29 17:48:31,596 plugin 76404 101244 add pyexcel.plugins.sources.sheet_stream_source.SheetStreamSource as 'source' plugin
DEBUG 2025-04-29 17:48:31,596 plugin 76404 101244 load pyexcel.plugins.sources.sheet_stream_source.SheetStreamSource later
DEBUG 2025-04-29 17:48:31,597 plugin 76404 101244 add pyexcel.plugins.sources.file_input.ReadExcelFromFile as 'source' plugin
DEBUG 2025-04-29 17:48:31,597 plugin 76404 101244 load pyexcel.plugins.sources.file_input.ReadExcelFromFile later
DEBUG 2025-04-29 17:48:31,597 plugin 76404 101244 add pyexcel.plugins.sources.memory_input.ReadExcelFileMemory as 'source' plugin
DEBUG 2025-04-29 17:48:31,597 plugin 76404 101244 load pyexcel.plugins.sources.memory_input.ReadExcelFileMemory later
DEBUG 2025-04-29 17:48:31,598 source_plugin 76404 101244 Instance attribute: xlsb xlsx html xls pdf tsvz csvz queryset tsv csv ods xlsm , xlsb xlsx html xls pdf tsvz csvz queryset tsv csv ods xlsm , 
DEBUG 2025-04-29 17:48:31,598 source_plugin 76404 101244 Source registry: 
DEBUG 2025-04-29 17:48:31,599 plugin 76404 101244 add pyexcel.plugins.sources.file_output.WriteSheetToFile as 'source' plugin
